fecha,lote_id,finca_id,especie,variedad,tipo_cultivo,fecha_siembra,edad_dias,area_ha,densidad_plantas_ha,ciclo_objetivo_dias,sistema_riego,sustrato,estado_fenologico,capacidad_instalada_tallos_dia,rendimiento_base_tallos_ha_sem,porcentaje_exportable_objetivo,temp_media_c,temp_max_c,temp_min_c,humedad_relativa_pct,radiacion_mj_m2,lluvia_mm,vpd_kpa,horas_luz,nubosidad_pct,mano_obra_disponible,mano_obra_requerida,horas_corte,horas_empaque,disponibilidad_camara_frio_pct,fertilizacion_nivel,aplicacion_fitosanitaria,incidencia_plaga_pct,incidencia_enfermedad_pct,merma_poscosecha_pct,retraso_logistico_horas,pedido_id,fecha_pedido,fecha_entrega,cliente_id,tipo_cliente,pais_destino,canal,tallos_solicitados,tallos_confirmados,precio_unitario,descuento_pct,prioridad_cliente,lead_time_dias,cancelado,produccion_estimadaa_tallos,produccion_exportable_tallos,cumplimiento_pedido_pct,gap_demanda_oferta,riesgo_quiebre,riesgo_sobreproduccion,margen_bruto_estimado,score_calidad_lote,probabilidad_cancelacion,forecast_error_historico
2025-12-01,FIN-02-L051,FIN-02,Rosa,Mondial,Invernadero,2025-08-23,100,1.31,53568,105,Goteo,Suelo,Cosecha,8515,85000,0.88,19.5,27.7,13.2,56.8,20.8,1.5,0.93,11.6,11.7,42,19,19.6,9.4,91.0,Medio,1,8.3,16.3,10.4,14,PED-00011,2025-11-24,2025-12-03,CLI-047,Mayorista,Chile,Preventa,8464,7135,0.562,0,Media,7,1,9443,6649,84.3,-1815,Alto,Bajo,2559.91,44.8,0.24,0.059
2025-05-07,FIN-02-L028,FIN-02,Gypsophila,New Love,Invernadero,2025-02-27,69,0.78,105692,75,Microaspersión,Cascarilla,Cosecha,5070,78000,0.88,17.7,24.3,12.1,75.1,15.5,0.0,0.48,11.8,41.4,26,15,7.7,6.0,79.0,Alto,1,7.9,16.9,11.1,2,PED-00012,2025-04-16,2025-05-09,CLI-115,Exportador,Estados Unidos,Preventa,8637,2278,0.205,10,Alta,21,1,3981,2734,26.4,-5903,Alto,Bajo,216.35,40.0,0.35,0.147
2025-01-31,FIN-04-L031,FIN-04,Rosa,Vendela,Invernadero,2024-10-01,122,1.63,64731,105,Goteo,Coco,Vegetativo,10595,85000,0.88,16.8,20.8,9.9,90.0,15.7,2.0,0.25,12.4,62.2,27,28,21.6,15.4,100.0,Medio,1,17.6,2.3,7.2,2,PED-00013,2025-01-24,2025-02-01,CLI-001,Retail,Estados Unidos,Preventa,1691,1691,0.482,2,Media,7,0,11290,8831,100.0,7140,Bajo,Alto,451.52,61.8,0.104,-0.018
2025-10-23,FIN-04-L011,FIN-04,Clavel,Dover,Invernadero,2025-08-04,80,1.47,76830,90,Microaspersión,Cascarilla,Cosecha,9555,105000,0.88,17.3,24.6,11.7,67.8,19.5,0.2,0.61,12.0,50.6,23,19,20.7,10.7,71.8,Alto,1,10.4,23.8,14.6,4,PED-00014,2025-09-23,2025-10-27,CLI-029,Supermercado,Países Bajos,Contrato,3771,3771,0.221,0,Media,30,0,12308,7330,100.0,3559,Bajo,Alto,382.47,17.0,0.34,0.008
2025-02-16,FIN-02-L027,FIN-02,Rosa,Freedom,Campo abierto,2024-10-25,114,1.22,58842,105,Microaspersión,Suelo,Cosecha,7930,85000,0.88,20.4,25.7,15.4,54.2,22.0,2.3,1.03,12.1,31.4,46,23,14.8,15.3,91.3,Alto,1,19.0,9.5,13.6,5,PED-00015,2025-01-17,2025-02-21,CLI-117,Mayorista,Estados Unidos,Preventa,5881,5803,0.484,0,Media,30,1,7810,5325,98.7,-556,Medio,Bajo,1713.99,33.4,0.34,-0.251
2025-12-10,FIN-03-L043,FIN-03,Rosa,Freedom,Invernadero,2025-09-21,80,1.2,63252,105,Goteo,Coco,Botón,7800,85000,0.88,21.9,26.2,15.7,72.6,16.8,0.5,0.66,13.0,35.2,37,14,9.4,7.8,75.4,Medio,1,20.1,2.5,10.5,15,PED-00016,2025-12-03,2025-12-11,CLI-082,Exportador,Países Bajos,Preventa,14569,3357,0.553,0,Alta,7,0,5492,3997,23.0,-10572,Alto,Bajo,1204.71,44.9,0.24,0.061
2025-01-07,FIN-03-L021,FIN-03,Rosa,Freedom,Invernadero,2024-09-17,112,0.22,66642,105,Goteo,Coco,Cosecha,1430,85000,0.88,13.9,20.0,7.2,66.8,20.2,0.0,0.51,11.6,42.9,18,5,2.0,1.2,81.1,Alto,1,22.0,28.8,15.5,6,PED-00017,2024-12-31,2025-01-11,CLI-010,Exportador,Colombia,Preventa,9226,439,0.462,0,Media,7,0,1013,557,4.8,-8669,Alto,Bajo,128.76,0.0,0.24,0.038
2025-06-22,FIN-04-L058,FIN-04,Clavel,Dover,Campo abierto,2025-03-27,87,0.86,82415,90,Goteo,Coco,Vegetativo,5590,105000,0.88,16.0,24.6,9.8,84.1,18.2,1.0,0.28,11.5,40.5,19,17,10.7,8.1,81.7,Medio,1,33.6,27.9,18.5,9,PED-00018,2025-06-08,2025-06-26,CLI-016,Broker,España,Spot,6604,1668,0.292,8,Media,14,1,3015,1658,25.3,-4946,Alto,Bajo,243.8,0.0,0.286,0.034
2025-07-18,FIN-01-L022,FIN-01,Gypsophila,New Love,Invernadero,2025-04-25,84,1.66,84203,75,Microaspersión,Coco,Cosecha,10790,78000,0.88,16.1,25.0,9.3,83.3,15.7,0.0,0.3,12.4,50.7,24,31,18.9,15.7,81.7,Medio,1,10.6,27.9,16.0,17,PED-00019,2025-07-04,2025-07-19,CLI-062,Broker,Colombia,Spot,5306,3110,0.189,2,Media,14,1,6069,3434,58.6,-1872,Alto,Bajo,273.04,10.1,0.304,0.171
2025-10-20,FIN-01-L046,FIN-01,Rosa,Freedom,Invernadero,2025-07-27,85,0.25,63407,105,Goteo,Coco,Botón,1625,85000,0.88,15.1,22.0,8.2,80.0,17.0,3.1,0.33,12.0,39.0,24,5,2.9,2.0,90.2,Medio,0,13.6,30.0,15.4,14,PED-00020,2025-10-13,2025-10-24,CLI-038,Mayorista,España,Contrato,4107,515,0.541,0,Alta,7,0,870,478,12.5,-3629,Alto,Bajo,173.18,6.2,0.24,0.066
2025-11-24,FIN-02-L006,FIN-02,Clavel,Nelson,Invernadero,2025-08-26,90,1.74,82173,90,Microaspersión,Cascarilla,Cosecha,11310,105000,0.88,18.7,27.2,13.0,77.4,24.1,1.6,0.46,12.3,19.1,31,33,19.9,11.6,79.3,Alto,0,3.4,19.3,10.9,1,PED-00021,2025-11-10,2025-11-26,CLI-063,Exportador,España,Contrato,6406,6406,0.238,5,Baja,14,0,20100,13987,100.0,7581,Bajo,Alto,721.78,43.2,0.205,0.067
2025-03-01,FIN-01-L022,FIN-01,Rosa,Freedom,Invernadero,2024-11-12,109,1.7,62098,105,Microaspersión,Coco,Botón,11050,85000,0.88,18.8,23.1,13.1,61.7,20.8,0.0,0.79,12.2,28.2,27,23,22.9,19.0,70.7,Alto,1,6.5,4.4,6.6,7,PED-00022,2025-02-15,2025-03-06,CLI-079,Exportador,Estados Unidos,Marketplace,4844,4844,0.424,5,Media,14,0,17665,14222,100.0,9378,Bajo,Alto,978.84,68.1,0.165,0.045
2025-01-27,FIN-03-L029,FIN-03,Clavel,Bizet,Invernadero,2024-10-02,117,0.39,91185,90,Microaspersión,Cascarilla,Vegetativo,2535,105000,0.88,17.5,23.9,13.1,75.7,13.0,0.0,0.47,12.0,59.7,23,8,4.2,3.2,69.0,Bajo,0,16.7,14.2,11.4,6,PED-00023,2025-01-13,2025-01-31,CLI-090,Exportador,Estados Unidos,Marketplace,6642,771,0.288,5,Alta,14,1,1530,986,11.6,-5656,Alto,Bajo,127.4,28.6,0.295,-0.144
2025-06-23,FIN-02-L042,FIN-02,Clavel,Bizet,Invernadero,2025-04-12,72,0.45,81790,90,Microaspersión,Coco,Cosecha,2925,105000,0.88,20.3,28.7,14.2,75.6,13.7,3.7,0.54,12.6,58.1,42,8,7.0,4.2,80.1,Alto,0,9.7,2.0,6.6,8,PED-00024,2025-06-02,2025-06-25,CLI-036,Exportador,Colombia,Marketplace,3668,1873,0.254,0,Baja,21,0,2825,2300,51.1,-1368,Alto,Bajo,241.22,69.6,0.42,0.142
2025-09-07,FIN-03-L034,FIN-03,Clavel,Nelson,Invernadero,2025-06-29,70,1.46,78214,90,Microaspersión,Coco,Vegetativo,9490,105000,0.88,13.6,19.5,8.2,67.1,18.5,0.0,0.49,12.6,26.9,38,17,18.6,12.8,79.4,Bajo,1,19.1,0.9,8.5,10,PED-00025,2025-08-24,2025-09-09,CLI-037,Retail,Estados Unidos,Preventa,1162,1162,0.213,0,Media,14,0,10237,7765,100.0,6603,Bajo,Alto,124.31,53.9,0.18,-0.044
2025-06-24,FIN-01-L049,FIN-01,Clavel,Dover,Invernadero,2025-03-30,86,1.32,87116,90,Microaspersión,Cascarilla,Cosecha,8580,105000,0.88,19.8,24.0,12.8,95.1,14.7,0.0,0.25,11.7,59.3,29,22,13.5,16.1,100.0,Bajo,0,18.0,19.5,13.5,11,PED-00026,2025-06-17,2025-06-29,CLI-091,Exportador,España,Marketplace,7372,3595,0.257,8,Alta,7,0,5791,3573,48.8,-3799,Alto,Bajo,412.07,22.2,0.216,0.054
2025-11-24,FIN-01-L019,FIN-01,Clavel,Dover,Campo abierto,2025-08-15,101,1.7,82372,90,Goteo,Coco,Vegetativo,11050,105000,0.88,18.6,25.5,13.6,75.4,11.6,2.7,0.5,12.0,59.5,29,30,19.3,19.5,92.2,Alto,1,21.8,0.9,7.1,4,PED-00027,2025-11-10,2025-11-26,CLI-098,Mayorista,Países Bajos,Contrato,5292,5292,0.274,0,Media,14,0,10294,7831,100.0,2539,Bajo,Alto,790.0,56.3,0.18,0.146
2025-10-31,FIN-04-L015,FIN-04,Rosa,Vendela,Invernadero,2025-07-11,112,0.82,75558,105,Microaspersión,Coco,Botón,5330,85000,0.88,16.9,25.0,11.6,90.2,16.5,1.5,0.25,12.1,33.1,24,15,10.6,11.2,90.7,Medio,1,19.1,30.0,16.7,9,PED-00028,2025-10-01,2025-11-05,CLI-072,Supermercado,Estados Unidos,Preventa,5127,1862,0.473,0,Media,30,1,3073,1690,36.3,-3437,Alto,Bajo,527.83,0.0,0.45,0.044
2025-06-01,FIN-03-L037,FIN-03,Rosa,Explorer,Invernadero,2025-02-01,120,0.67,65263,105,Goteo,Suelo,Cosecha,4355,85000,0.88,17.5,24.9,11.1,66.3,17.7,0.0,0.65,12.0,42.6,35,10,8.2,4.6,79.3,Medio,1,27.7,22.7,18.3,4,PED-00029,2025-05-11,2025-06-03,CLI-044,Exportador,Chile,Preventa,8071,1298,0.547,8,Alta,21,1,2629,1445,16.1,-6626,Alto,Bajo,421.69,0.0,0.356,0.194
2025-01-27,FIN-02-L008,FIN-02,Rosa,Vendela,Invernadero,2024-10-06,113,1.23,52040,105,Goteo,Coco,Cosecha,7995,85000,0.88,19.1,28.1,13.1,59.9,22.7,1.6,0.84,12.1,20.6,21,26,12.5,11.3,100.0,Medio,1,11.8,4.2,9.2,5,PED-00030,2025-01-20,2025-01-31,CLI-035,Retail,España,Preventa,1883,1883,0.365,0,Alta,7,0,12922,10257,100.0,8374,Bajo,Alto,374.06,62.9,0.11,0.008
2025-05-23,FIN-04-L042,FIN-04,Gypsophila,Million Star,Invernadero,2025-02-18,94,0.99,99602,75,Goteo,Suelo,Cosecha,6435,78000,0.88,11.7,18.8,5.7,89.7,17.0,0.1,0.25,11.9,41.3,24,20,13.0,9.2,92.4,Medio,0,6.2,13.1,9.0,9,PED-00031,2025-05-02,2025-05-27,CLI-089,Mayorista,Estados Unidos,Preventa,1492,1492,0.181,2,Media,21,0,3959,2966,100.0,1474,Bajo,Alto,123.09,55.9,0.244,-0.071
2025-05-10,FIN-01-L031,FIN-01,Rosa,Explorer,Invernadero,2025-02-01,98,1.31,61012,105,Goteo,Suelo,Reposo,8515,85000,0.88,15.7,22.2,8.7,73.7,17.7,4.0,0.45,12.3,66.2,20,25,15.4,14.4,81.4,Medio,1,3.5,4.0,7.1,16,PED-00032,2025-04-10,2025-05-15,CLI-120,Exportador,Canadá,Contrato,22003,8635,0.515,0,Media,30,0,11633,9713,39.2,-12290,Alto,Bajo,2892.06,74.5,0.45,0.194
2025-05-09,FIN-01-L010,FIN-01,Clavel,Dover,Campo abierto,2025-02-24,74,1.69,85258,90,Microaspersión,Coco,Vegetativo,10985,105000,0.88,16.5,22.4,11.1,85.1,17.5,0.3,0.27,12.1,46.6,33,40,19.9,15.5,86.1,Medio,1,10.9,25.4,15.1,14,PED-00033,2025-03-25,2025-05-11,CLI-017,Broker,Estados Unidos,Spot,8187,4964,0.357,2,Baja,45,0,9647,5711,60.6,-2476,Alto,Bajo,1230.51,16.5,0.45,-0.051
2025-07-02,FIN-03-L014,FIN-03,Rosa,Vendela,Invernadero,2025-03-07,117,0.89,64563,105,Goteo,Suelo,Botón,5785,85000,0.88,16.8,22.0,12.4,74.1,15.3,0.0,0.48,12.4,49.4,29,17,13.5,8.9,92.6,Alto,1,19.0,14.3,13.5,2,PED-00034,2025-06-18,2025-07-05,CLI-096,Retail,Países Bajos,Contrato,1608,1608,0.389,0,Media,14,0,4776,3081,100.0,1473,Bajo,Alto,324.36,26.8,0.18,0.092
2025-11-16,FIN-01-L010,FIN-01,Clavel,Bizet,Invernadero,2025-07-23,116,1.38,82815,90,Microaspersión,Coco,Cosecha,8970,105000,0.88,14.4,21.1,8.8,86.9,16.9,1.2,0.25,12.4,57.1,32,29,17.2,3.2,83.4,Medio,1,6.5,3.2,5.0,3,PED-00035,2025-11-09,2025-11-18,CLI-064,Supermercado,España,Contrato,4618,4618,0.276,5,Media,7,1,11345,9459,100.0,4841,Bajo,Alto,650.72,76.5,0.095,-0.074
2025-01-19,FIN-02-L055,FIN-02,Rosa,Vendela,Invernadero,2024-10-21,90,1.37,64978,105,Microaspersión,Coco,Vegetativo,8905,85000,0.88,13.7,18.0,7.3,79.7,19.5,0.0,0.31,11.9,24.3,27,30,18.8,13.3,86.4,Medio,1,21.2,4.5,7.7,6,PED-00036,2025-01-12,2025-01-21,CLI-035,Broker,Países Bajos,Spot,5200,5200,0.548,8,Alta,7,1,8586,6245,100.0,1045,Bajo,Medio,1668.64,49.0,0.086,-0.09
2025-08-08,FIN-04-L016,FIN-04,Clavel,Nelson,Invernadero,2025-05-16,84,1.41,89702,90,Microaspersión,Suelo,Cosecha,9165,105000,0.88,16.5,20.7,12.3,64.5,7.0,3.0,0.64,12.2,78.5,32,28,16.6,11.0,94.0,Alto,0,3.7,0.5,4.1,1,PED-00037,2025-08-01,2025-08-10,CLI-016,Supermercado,Países Bajos,Contrato,2080,2080,0.252,5,Media,7,0,8624,7644,100.0,5564,Bajo,Alto,244.53,89.0,0.095,0.085
2025-05-05,FIN-04-L038,FIN-04,Clavel,Bizet,Invernadero,2025-02-06,88,1.49,75792,90,Goteo,Coco,Cosecha,9685,105000,0.88,15.2,20.5,10.7,78.0,20.6,0.0,0.37,12.2,31.6,25,22,20.5,13.2,84.4,Bajo,1,30.2,7.2,13.3,8,PED-00038,2025-04-14,2025-05-09,CLI-012,Broker,Estados Unidos,Contrato,9148,6082,0.277,10,Alta,21,0,10340,6487,66.5,-2661,Alto,Bajo,815.62,20.1,0.35,0.032
2025-10-29,FIN-03-L045,FIN-03,Rosa,Freedom,Invernadero,2025-06-21,130,1.77,62906,105,Goteo,Cascarilla,Vegetativo,11505,85000,0.88,19.5,24.3,12.9,60.1,15.0,0.8,0.86,12.0,57.8,30,36,20.0,17.1,83.3,Alto,1,2.6,0.2,5.0,15,PED-00039,2025-10-15,2025-11-02,CLI-034,Retail,Estados Unidos,Spot,1398,1398,0.547,5,Alta,14,0,10315,9088,100.0,7690,Bajo,Alto,453.73,86.4,0.165,0.181
2025-03-07,FIN-04-L047,FIN-04,Rosa,Vendela,Invernadero,2024-11-11,116,0.46,62386,105,Goteo,Suelo,Vegetativo,2990,85000,0.88,15.4,22.6,9.3,79.8,8.3,1.0,0.34,12.3,75.2,30,9,6.1,5.2,89.7,Medio,1,15.5,10.6,10.1,16,PED-00040,2025-02-14,2025-03-08,CLI-030,Supermercado,Colombia,Preventa,4200,1084,0.533,12,Media,21,0,1622,1145,25.8,-3055,Alto,Bajo,302.13,43.6,0.344,0.125
2025-09-22,FIN-04-L025,FIN-04,Rosa,Vendela,Invernadero,2025-05-07,138,1.52,69261,105,Microaspersión,Cascarilla,Botón,9880,85000,0.88,15.8,21.5,8.8,79.9,18.2,9.2,0.35,11.9,24.8,33,27,23.9,16.3,78.7,Medio,1,7.8,7.9,7.6,0,PED-00041,2025-08-23,2025-09-25,CLI-057,Retail,Estados Unidos,Preventa,1769,1769,0.483,5,Media,30,0,9050,6998,100.0,5229,Bajo,Alto,519.71,60.9,0.325,-0.067
2025-04-03,FIN-04-L014,FIN-04,Rosa,Mondial,Invernadero,2025-01-08,85,1.17,56419,105,Microaspersión,Suelo,Vegetativo,7604,85000,0.88,15.1,21.7,11.1,82.8,13.7,1.8,0.29,13.1,54.6,32,24,12.3,9.8,78.8,Medio,1,13.0,0.8,7.6,14,PED-00042,2025-03-04,2025-04-04,CLI-041,Exportador,Colombia,Spot,7913,5121,0.411,0,Media,30,1,6385,5101,64.7,-2812,Alto,Bajo,1249.25,64.3,0.45,-0.035
2025-09-15,FIN-02-L002,FIN-02,Clavel,Dover,Invernadero,2025-06-16,91,1.62,65640,90,Microaspersión,Suelo,Cosecha,10530,105000,0.88,21.8,26.5,17.5,69.0,14.7,4.6,0.74,12.4,58.5,34,20,24.5,14.0,79.1,Alto,1,15.2,20.7,14.4,4,PED-00043,2025-09-01,2025-09-19,CLI-056,Retail,Canadá,Preventa,1252,1252,0.314,2,Media,14,0,6868,4118,100.0,2866,Bajo,Alto,237.02,17.2,0.174,0.105
2025-11-17,FIN-03-L029,FIN-03,Rosa,Vendela,Invernadero,2025-08-15,94,1.02,73278,105,Microaspersión,Cascarilla,Vegetativo,6630,85000,0.88,14.7,22.9,9.1,74.1,17.1,3.9,0.42,12.1,49.5,15,15,10.5,8.3,76.1,Alto,1,15.7,12.6,11.0,2,PED-00044,2025-10-18,2025-11-20,CLI-013,Mayorista,Estados Unidos,Preventa,5716,3474,0.42,0,Alta,30,0,6083,4088,60.8,-1628,Alto,Bajo,746.91,35.0,0.45,-0.002
2025-04-21,FIN-01-L017,FIN-01,Clavel,Bizet,Invernadero,2025-02-17,63,1.37,73184,90,Goteo,Suelo,Cosecha,8905,105000,0.88,16.1,23.8,11.7,86.4,17.8,2.6,0.25,12.2,32.8,16,32,14.9,12.2,88.9,Bajo,1,33.3,25.2,22.3,0,PED-00045,2025-03-31,2025-04-22,CLI-096,Mayorista,Canadá,Contrato,5671,1527,0.311,2,Media,21,0,2855,1570,26.9,-4101,Alto,Bajo,289.89,0.0,0.374,0.03
2025-11-24,FIN-03-L059,FIN-03,Rosa,Explorer,Invernadero,2025-07-23,124,0.23,74037,105,Goteo,Cascarilla,Cosecha,1495,85000,0.88,18.2,26.8,14.1,72.8,20.3,5.0,0.54,12.6,47.2,21,5,2.8,2.6,73.0,Bajo,0,12.2,29.7,17.6,13,PED-00046,2025-11-17,2025-11-26,CLI-120,Retail,Estados Unidos,Contrato,1913,380,0.373,2,Media,7,0,892,490,19.9,-1423,Alto,Bajo,70.51,0.0,0.234,0.047
2025-02-24,FIN-03-L053,FIN-03,Gypsophila,Million Star,Campo abierto,2024-12-06,80,1.54,85397,75,Microaspersión,Cascarilla,Vegetativo,10010,78000,0.88,19.6,24.5,13.4,67.2,15.5,3.7,0.71,12.8,58.6,10,39,16.1,10.7,90.7,Bajo,1,1.5,7.9,14.8,0,PED-00047,2025-02-03,2025-02-25,CLI-060,Exportador,España,Preventa,3018,3018,0.162,2,Alta,21,0,9220,7323,100.0,4305,Bajo,Alto,213.91,57.6,0.244,0.024
2025-08-05,FIN-03-L023,FIN-03,Clavel,Nelson,Invernadero,2025-05-11,86,0.59,81258,90,Goteo,Suelo,Vegetativo,3835,105000,0.88,16.9,22.3,12.5,76.0,16.6,0.4,0.45,11.5,22.6,27,11,8.4,5.6,78.5,Alto,0,7.6,2.0,7.5,9,PED-00048,2025-07-06,2025-08-09,CLI-053,Supermercado,Canadá,Preventa,3394,3394,0.293,0,Media,30,1,7928,6516,100.0,3122,Bajo,Alto,574.1,70.2,0.34,-0.069
2025-02-13,FIN-02-L013,FIN-02,Rosa,Explorer,Campo abierto,2024-11-22,83,0.79,63514,105,Goteo,Coco,Cosecha,5135,85000,0.88,11.1,17.8,5.3,70.1,15.9,0.3,0.37,12.8,51.3,35,14,9.7,9.6,83.9,Medio,0,12.5,24.2,13.6,8,PED-00049,2025-01-14,2025-02-18,CLI-017,Exportador,España,Spot,17097,1164,0.415,0,Alta,30,0,2103,1253,6.8,-15844,Alto,Bajo,255.68,18.6,0.45,-0.023
2025-02-28,FIN-02-L057,FIN-02,Clavel,Bizet,Campo abierto,2024-11-22,98,1.19,79732,90,Microaspersión,Cascarilla,Reposo,7735,105000,0.88,19.5,24.2,13.1,59.0,22.3,0.0,0.88,12.4,26.3,31,27,14.1,9.9,87.4,Bajo,0,2.5,0.6,4.5,11,PED-00050,2025-02-14,2025-03-03,CLI-011,Supermercado,Países Bajos,Contrato,2510,2510,0.224,2,Alta,14,0,14069,12445,100.0,9935,Bajo,Alto,288.64,88.0,0.174,0.053
